제목,주소,키워드,종목코드,날짜
"두산건설, 3Q 영업익 125억원…전년比 51.9% 증가",http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103102188.html,"두산건설 ( 011160 ) 은 3 분기
3 분기 연결
연결 기준
기준 영업 이익
1 %
순 손실 254 억 9700 만원
기간
기간 매출 액
9 %
31 일",011160,2018-10-31
"㈜두산,  2년 연속 영업익 1조 돌파…3분기 누적 1조503억원",http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103102927.html,"3 분기 누적
산업 용 지게차
신규 거래처
거래처 확보
확보
판매량 확대
확대 국내 시장
점유 율 상승
상승 3 분기
유압부품",241560,2018-10-31
두산인프라코어 이미 작년 영업이익 돌파…사상 최대,http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103001579.html,"굴삭기 판매
회사 관계자
관계자 신흥시장
신흥시장 판매 가격
판매 가격 인상
전략
시장 지난
지난 2 분기
2 분기 다소
다소 주춤",241560,2018-10-30
"두산밥캣, 2018년 3분기 영업익 1229억원…전년 比 45.4% 증가",http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103001379.html,"두산 밥캣 ( 241560 ) 은 연결
연결 기준
3 분기 영업 이익
영업 이익 1229 억원
1229 억원 2017 년
2017 년 3 분기
4 % ,
, 매출 액
매출 액 1 조 353 억원
9 %",241560,2018-10-30
"㈜두산,  2년 연속 영업익 1조 돌파…3분기 누적 1조503억원",http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103102927.html,"3 분기 누적
산업 용 지게차
신규 거래처
거래처 확보
확보
판매량 확대
확대 국내 시장
점유 율 상승
상승 3 분기
유압부품",042670,2018-10-31
두산인프라코어 이미 작년 영업이익 돌파…사상 최대,http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103001579.html,"굴삭기 판매
회사 관계자
관계자 신흥시장
신흥시장 판매 가격
판매 가격 인상
전략
시장 지난
지난 2 분기
2 분기 다소
다소 주춤",042670,2018-10-30
"두산인프라코어, 2018년 3분기 영업익 1914억원…전년 比 33% 증가",http://biz.chosun.com/site/data/html_dir/2018/10/30/2018103001371.html,"두산인프라코어 ( 042670 ) 2018 년
3 분기 연결
연결 기준
기준 영업 이익
3 분기 33 %
33 % ,
, 매출
매출 1 조 8458 억 2000 만원
5 %
30 일",042670,2018-10-30
"㈜두산,  2년 연속 영업익 1조 돌파…3분기 누적 1조503억원",http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103102927.html,"3 분기 누적
산업 용 지게차
신규 거래처
거래처 확보
확보
판매량 확대
확대 국내 시장
점유 율 상승
상승 3 분기
유압부품",034020,2018-10-31
두산중공업 3Q 영업익 2116억원…전년비 9.35%↑,http://biz.chosun.com/site/data/html_dir/2018/10/31/2018103102174.html,"두산 중공업 ( 034020 ) 은
3 분기
3 분기 연결 기준
연결 기준 영업 이익
기록 전년
전년 동기
동기 대비
기간
기간 매출 액
매출 액 3 조 3875 억원",034020,2018-10-31
[주말쇼핑가] 블랙프라이데이 맞아 유통가 들썩,http://biz.chosun.com/site/data/html_dir/2018/11/02/2018110200952.html,"구매 시
이상 구매
결제 시
등 총
겨울
상 구스
구스 다운
다운 등
등 지정
지정 카드",023530,2018-11-02
